"범죄별(1)","범죄별(2)","시점",발생지역별(1),데이터
"A/Bⅹ100,000 (건/10만명)","소계","2018",충남,3546.3
"A/Bⅹ100,000 (건/10만명)","소계","2018",전북,3067.9
"A/Bⅹ100,000 (건/10만명)","소계","2018",전남,3501.5
"A/Bⅹ100,000 (건/10만명)","소계","2018",경북,3189.3
"A/Bⅹ100,000 (건/10만명)","소계","2018",경남,3474.9
"A/Bⅹ100,000 (건/10만명)","소계","2018",제주,4512.4
"A/Bⅹ100,000 (건/10만명)","소계","2019",계,3409.2
"A/Bⅹ100,000 (건/10만명)","소계","2019",서울,3499.8
"A/Bⅹ100,000 (건/10만명)","소계","2019",부산,3770.7
"A/Bⅹ100,000 (건/10만명)","소계","2019",대구,3400.5
"A/Bⅹ100,000 (건/10만명)","소계","2019",인천,3425.4
"A/Bⅹ100,000 (건/10만명)","소계","2019",광주,3627.1
"A/Bⅹ100,000 (건/10만명)","소계","2019",대전,3249.7
"A/Bⅹ100,000 (건/10만명)","소계","2019",울산,2248.6
"A/Bⅹ100,000 (건/10만명)","소계","2019",세종,1849.8
"A/Bⅹ100,000 (건/10만명)","소계","2019",경기,3274.2
"A/Bⅹ100,000 (건/10만명)","소계","2019",강원,3457
"A/Bⅹ100,000 (건/10만명)","소계","2019",충북,3362.5
"A/Bⅹ100,000 (건/10만명)","소계","2019",충남,3475.9
"A/Bⅹ100,000 (건/10만명)","소계","2019",전북,3189.4
"A/Bⅹ100,000 (건/10만명)","소계","2019",전남,3669.1
"A/Bⅹ100,000 (건/10만명)","소계","2019",경북,3304.7
"A/Bⅹ100,000 (건/10만명)","소계","2019",경남,3687.4
"A/Bⅹ100,000 (건/10만명)","소계","2019",제주,4220.3
"A/Bⅹ100,000 (건/10만명)","소계","2020",계,3308.1
"A/Bⅹ100,000 (건/10만명)","소계","2020",서울,3292.4
"A/Bⅹ100,000 (건/10만명)","소계","2020",부산,3764
"A/Bⅹ100,000 (건/10만명)","소계","2020",대구,3274.2
"A/Bⅹ100,000 (건/10만명)","소계","2020",인천,3273.7
"A/Bⅹ100,000 (건/10만명)","소계","2020",광주,3439.1
"A/Bⅹ100,000 (건/10만명)","소계","2020",대전,3207.9
"A/Bⅹ100,000 (건/10만명)","소계","2020",울산,2192.8
"A/Bⅹ100,000 (건/10만명)","소계","2020",세종,1869.1
"A/Bⅹ100,000 (건/10만명)","소계","2020",경기,3198.7
"A/Bⅹ100,000 (건/10만명)","소계","2020",강원,3340.9
"A/Bⅹ100,000 (건/10만명)","소계","2020",충북,3226.1
"A/Bⅹ100,000 (건/10만명)","소계","2020",충남,3387.4
"A/Bⅹ100,000 (건/10만명)","소계","2020",전북,3115.7
"A/Bⅹ100,000 (건/10만명)","소계","2020",전남,3642.8
"A/Bⅹ100,000 (건/10만명)","소계","2020",경북,3174.6
"A/Bⅹ100,000 (건/10만명)","소계","2020",경남,3694.6
"A/Bⅹ100,000 (건/10만명)","소계","2020",제주,4342.5
"A/Bⅹ100,000 (건/10만명)","소계","2021",계,2966.2
"A/Bⅹ100,000 (건/10만명)","소계","2021",서울,2890.1
"A/Bⅹ100,000 (건/10만명)","소계","2021",부산,3389.4
"A/Bⅹ100,000 (건/10만명)","소계","2021",대구,3032.6
"A/Bⅹ100,000 (건/10만명)","소계","2021",인천,2897.6
"A/Bⅹ100,000 (건/10만명)","소계","2021",광주,3094.5
"A/Bⅹ100,000 (건/10만명)","소계","2021",대전,2886.6
"A/Bⅹ100,000 (건/10만명)","소계","2021",울산,2091.9
"A/Bⅹ100,000 (건/10만명)","소계","2021",세종,1652.9
"A/Bⅹ100,000 (건/10만명)","소계","2021",경기,2860.2
"A/Bⅹ100,000 (건/10만명)","소계","2021",강원,2950.8
"A/Bⅹ100,000 (건/10만명)","소계","2021",충북,2943.5
"A/Bⅹ100,000 (건/10만명)","소계","2021",충남,2986.4
"A/Bⅹ100,000 (건/10만명)","소계","2021",전북,2943
"A/Bⅹ100,000 (건/10만명)","소계","2021",전남,3284.9
"A/Bⅹ100,000 (건/10만명)","소계","2021",경북,2866.8
"A/Bⅹ100,000 (건/10만명)","소계","2021",경남,3352.3
"A/Bⅹ100,000 (건/10만명)","소계","2021",제주,3915.6
"A/Bⅹ100,000 (건/10만명)","소계","2022",계,3061.9
"A/Bⅹ100,000 (건/10만명)","소계","2022",서울,3134.2
"A/Bⅹ100,000 (건/10만명)","소계","2022",부산,3560.5
"A/Bⅹ100,000 (건/10만명)","소계","2022",대구,3020.1
"A/Bⅹ100,000 (건/10만명)","소계","2022",인천,3072.9
"A/Bⅹ100,000 (건/10만명)","소계","2022",광주,3002.2
"A/Bⅹ100,000 (건/10만명)","소계","2022",대전,3156.8
